BG Word;RU word;BG Google Count;RU Google Count
задушно;душно;796;583000
задължение;обязанность;254000;1990000
задължение;обязательство;254000;1910000
задължителен;обязательный;164000;1460000
задължително;обязательно;1420000;2400000
задържа;задержать;163000;1070000
заедно;вместе;1360000;3230000
заема;занять;387000;1540000
заема;одолжить;387000;259000
заемам;занимать;15000;1400000
зает;занятый;103000;883000
заинтересованост;заинтересованность;16800;1350000
закача;задеть;31900;581000
закачалка;вешалка;10100;1110000
закачвам;вешать;652;1030000
закачка;шалость;23400;710000
заключа;запереть;9910;347000
заключвам;запирать;878;166000
заключение;вывод;263000;2890000
заключение;заключение;263000;1980000
закова;забить;15700;1270000
закон;закон;1210000;6930000
законен;законный;45500;1360000
закономерен;закономерный;860;774000
закономерност;закономерность;22300;1310000
закопчавам;застегнуть;1190;120000
закрепя;закрепить;610;1430000
закрит;закрытый;107000;1360000
закупувам;закупать;905;649000
закуска;завтрак;377000;1570000
закъснение;опоздание;168000;1340000
закъснея;опоздать;653;398000
закъснявам;опаздывать;683;254000
закъсняване;опоздание;1140;1340000
зала;зал;1150000;2770000
залез;закат;95600;1420000
залепвам;заклеивать;1290;46200
залепвам;приклеивать;1290;76700
залепя;заклеить;722;94400
залив;залив;121000;1470000
залог;залог;118000;1530000
заменя;заменить;283000;1690000
заменям;заменять;214000;1140000
заменям;замещать;214000;165000
замествам;заменять;529;1140000
замествам;замещать;529;165000
заместник;заместитель;679000;2620000
заместя;заменить;580;1690000
замина;выехать;219000;1240000
замина;поехать;219000;1430000
заминавам;выезжать;28700;952000
заминавам;уезжать;28700;1100000
заминавам;уходить;28700;1430000
заминаване;выезд;63500;1700000
заминаване;отъезд;63500;1600000
замисля;задумать;133000;48300
замисъл;замысел;63500;1420000
замлъква;замолкать;1290;9900
замразен;мороженый;21900;18900
замък;замок;57800;2280000
замълча;замолчать;28200;485000
замяна;взамен;214000;1400000
замяна;замена;214000;2230000
занасям;заносить;3730;360000
занеса;занести;15500;1250000
занимавам;занимать;180000;1400000
занятие;занятие;49300;2750000
запад;запад;619000;2740000
западен;западный;126000;2110000
запазя;сберечь;46300;736000
запазя;сохранить;46300;2230000
запалвам;закуривать;5860;31300
запалка;зажигалка;19600;1380000
запаля;зажечь;23200;780000
запас;запас;46600;1600000
запасен;запасный;615;220000
запетайка;запятая;885;1250000
запетая;запятая;95900;1250000
запечатам;запечатать;1150;105000
запечатвам;запечатывать;756;25700
запис;перевод;709000;2520000
записвам;заносить;33600;360000
записвам;записывать;33600;1370000
записка;записка;68400;1480000
запитам;запросить;16400;1660000
запитам;спросить;16400;1650000
запитвам;запрашивать;2960;659000
запитвам;спрашивать;2960;1440000
запитване;запрос;492000;2830000
запиша;занести;76200;1250000
запиша;записать;76200;1370000
заплата;заработок;523000;1580000
заплата;зарплата;523000;1670000
заплата;оплата;523000;3780000
заплатен;оплаченный;9800;697000
заплатя;заплатить;20300;1410000
заплатя;оплатить;20300;1700000
заплашвам;угрожать;2840;734000
заплащам;оплачивать;1710;1360000
заплащане;оплата;552000;3780000
заповед;приказ;471000;1910000
заповядам;приказать;2210;266000
запознавам;знакомить;13000;455000
запознавам;познакомить;13000;1240000
запознаване;знакомство;157000;1590000
запомня;запомнить;35700;3230000
запомням;запоминать;3600;756000
започвам;заводить;156000;1150000
започвам;начинать;156000;1980000
започна;начать;1070000;1950000
запуша;закурить;2440;345000
запушалка;пробка;517;1520000
запушвам;закуривать;1710;31300
запълня;заполнить;741;1680000
заради;из-за;1350000;5500000
заради;причина;1350000;4380000
заради;ради;1350000;1730000
заредя;зарядить;987;321000
зареждам;заряжать;10900;413000
зарзават;овощ;999;337000
зарзала;абрикос;277;790000
засега;пока;747000;3960000
засегна;задеть;56500;581000
заселвам;поселить;641;246000
заслуга;заслуга;63000;1400000
заспя;заснуть;30500;1010000
заспя;уснуть;30500;945000
заставя;заставить;11800;1510000
заставям;заставлять;784;944000
застилам;застелить;341;34100
застраховка;страхование;401000;1890000
засягам;касать;10700;1350
затварям;закрывать;21700;1360000
затварям;запирать;21700;166000
затвор;тюрьма;349000;2060000
затворен;закрытый;202000;1360000
затворя;закрыть;20900;2220000
затворя;запереть;20900;347000
затова;зато;1250000;2170000
затова;оттого;1250000;1590000
затова;потому;1250000;2520000
затова;поэтому;1250000;3790000
затруднение;затруднение;40400;1370000
затруднителен;щекотливый;165;67100
затрудня;затруднить;2640;287000
затъкна;заткнуть;591;356000
затъна;утонуть;583;515000
захар;сахар;248000;1480000
захарен;сахарный;36600;1370000
зачерквам;зачеркивать;701;29900
зачеркна;зачеркнуть;2040;150000
зачертавам;зачеркнуть;317;150000
зачислявам;зачислять;124;93100
зачукам;забить;223;1270000
зачуквам;забивать;251;1010000
зашивам;зашивать;442;74300
зашия;зашить;1330;115000
защита;защита;1370000;4410000
защо;зачем;1660000;2290000
защо;отчего;1660000;1390000
защо;почему;1660000;2440000
защото;ибо;1350000;1900000
защото;потому;1350000;2520000
заявка;заявка;879000;3930000
заявление;заявление;335000;4330000
заявя;заявить;56900;1500000
заявявам;заявить;38800;1500000
звук;звук;419000;2830000
звъня;звонить;25000;1430000
здание;здание;53800;4740000
здание;посторойка;53800;1170
здание;сооружение;53800;1590000
здрав;здоровый;262000;1780000
здрав;здравый;262000;1370000
здрав;прочный;262000;1680000
здраве;здоровье;2050000;4100000
здравей;здравствуй;766000;1760000
здравейте;здравствуйте;1220000;2050000
здравеопазване;здравоохранение;1160000;2210000
здрависвам;здороваться;271;241000
зеле;капуста;73300;1480000
зелен;зеленый;337000;2150000
зеленина;зелень;53300;1440000
зеленчук;зелень;33000;1440000
зеленчук;овощ;33000;337000
земеделски;аграрный;410000;1330000
земетресение;землетрясение;119000;1420000
земетръс;землетрясение;698;1420000
земя;земля;994000;2170000
земя;свет;994000;2430000
зет;зять;32600;1070000
зима;зима;330000;2680000
зимен;зимний;212000;1730000
златен;золотой;389000;2500000
злато;золото;326000;2240000
зле;плохо;538000;2460000
знак;заметка;782000;1660000
знак;знак;782000;2410000
знаменател;знаменатель;22500;476000
знаменит;знаменитый;16100;2000000
знание;знание;308000;3240000
знача;значить;11000;717000
значение;значение;1190000;3190000
значителен;значительный;182000;1490000
зная;знать;350000;2220000
зная;уметь;350000;1350000
зноен;жаркий;838;1480000
зной;жара;715;1560000
зова;звать;9090;1300000
зрял;спелый;41100;194000
зъб;зуб;47400;1830000
зъболекар;дантист;151000;344000
зърно;зерно;94400;1340000
и;и;4540000;14100000
игла;игла;66700;1450000
игличка;иголка;1570;888000
иглолистен;хвойный;3300;237000
игнорирам;игнорировать;545;1300000
игра;игра;1340000;4000000
играч;игрок;246000;2990000
играчка;игрушка;106000;2590000
играя;играть;339000;2400000
ида;идти;152000;1930000
идеал;идеал;97100;1340000
идеален;идеальный;158000;1670000
идея;замысел;947000;1420000
идея;идея;947000;3820000
избера;выбрать;69000;3420000
избирам;выбирать;65400;1760000
избиране;выбор;299000;3120000
избор;выбор;1390000;3120000
избягвам;избегать;29800;1490000
избягна;избежать;599;1680000
изваждам;вынимать;682;352000
извара;творог;31700;1070000
изварявам;кипятить;549;296000
изведнъж;вдруг;298000;2130000
известен;знакомый;737000;1820000
извивам;поворачивать;14300;570000
извивка;изгиб;13000;1120000
извивка;поворот;13000;1700000
извикам;вызвать;17500;1630000
извинение;извинение;93600;1050000
извиня;извинить;26700;524000
извинявам;извинить;161000;524000
извия;повернуть;2300;1430000
извод;вывод;216000;2890000
извод;заключение;216000;1980000
извор;источник;171000;7070000
извор;родник;171000;1150000
извън;вне;1430000;2170000
извън;за;1430000;13200000
извънградски;загородный;24700;1260000
извънреден;экстренный;121000;888000
извънредно;крайне;254000;1990000
извърша;сделать;15700;3160000
извършвам;совершать;15700;1350000
изглед;вид;792000;8570000
изглежда;будто;912000;1990000
изглеждам;казать;39500;91200
изговоря;произнести;1100;1180000
изгоден;выгодный;28000;1360000
изготвя;изготовить;197000;1260000
изготвям;изготавливать;3330;693000
изготвям;изготовлять;3330;231000
изготвяне;изготовление;334000;2050000
изгрев;восход;210000;1300000
изгрея;взойти;594;330000
изгубвам;терять;10600;1430000
изгубя;потерять;21900;1460000
издавам;выдавать;19700;1360000
издам;выдать;18800;1600000
изделие;изделие;31700;1330000
издирване;поиск;84700;13900000
иззад;из-за;27700;5500000
изисквам;требовать;897;1360000
изкача;въехать;10100;439000
изкачвам;въезжать;537;255000
изключвам;исключить;36600;1310000
изключение;исключая;648000;1330000
изключение;исключение;648000;1770000
изкуствен;искусственный;94800;1530000
изкуство;искусство;1660000;3860000
излагам;выставлять;16700;1220000
излекувам;вылечить;711;1190000
излекувам;излечить;711;299000
излет;пикник;45100;1560000
излетя;вылететь;52800;700000
излея;вылить;9380;312000
излизам;выезжать;84700;952000
излизам;выходить;84700;1590000
излизане;выезд;206000;1700000
излитам;вылетать;2170;198000
излитане;вылет;37400;1320000
излишен;избыточный;58700;1180000
излишен;лишний;58700;1800000
излишно;излишне;187000;1390000
излишък;избыток;69200;1410000
излишък;излишек;69200;1130000
изложа;выставить;27300;1700000
изложба;выставка;512000;3930000
излъжа;обмануть;20200;1450000
излъчвам;излучать;5270;191000
излъчване;излучение;166000;1380000
изляза;выехать;70800;1240000
изляза;выйти;70800;1730000
измама;обман;195000;1380000
измамя;обмануть;851;1450000
измачкан;измятый;1040;45400
изменение;изменение;678000;5950000
изменение;перемена;678000;1520000
изменям;изменять;1410;1460000
измеря;измерить;26500;1020000
измивам;умыть;4740;72700
измислица;вымысел;90500;1200000
измислица;миф;90500;1880000
измисля;выдумать;63000;281000
измитам;подметать;417;146000
измия;вымыть;10200;503000
изморен;усталый;20600;1090000
изнасям;экспортировать;9200;1100000
изненада;неожиданность;411000;1630000
износ;экспорт;324000;6220000
износвам;изнашивать;526;11300
изобщо;вообще;906000;2580000
изостряне;обострение;12200;1400000
изпера;выстирать;1920;32700
изпит;экзамен;370000;1970000
изпитвам;экзаменовать;57600;29300
изпия;выпить;14100;1390000
изплашвам;пугать;579;1060000
изплащам;уплачивать;4260;444000
изплащане;уплата;244000;1570000
изпод;из-под;55300;1580000
използвам;использовать;278000;3410000
използване;использование;1330000;7600000
изпратя;выслать;75700;1370000
изпратя;направить;75700;1350000
изпратя;послать;75700;2100000
изпращам;высылать;66000;1180000
изпращач;адресат;21300;1310000
изпращач;отправитель;21300;1880000
изпреварване;обгон;10600;358000
изпреваря;опередить;5110;468000
изпълнение;исполнение;1250000;2410000
изпълнител;исполнитель;675000;2310000
изпълня;заполнить;38500;1680000
изпълня;исполнить;38500;1410000
изпълняване;исполнение;27600;2410000
изработвам;изготавливать;9870;693000
изработвам;изготовлять;9870;231000
изработване;изготовление;267000;2050000
изработен;изготовленный;151000;524000
изработя;изготовить;2780;1260000
изразходвам;затратить;2790;443000
изразходвам;затрачивать;2790;118000
изразходвам;израсходовать;2790;183000
изразходвам;тратить;2790;1550000
изратсвам;вырастать;1;85600
изследвам;обследовать;12600;420000
изсъхвам;высыхать;541;36200
изток;восток;986000;2950000
източен;восточный;106000;1990000
източник;источник;1170000;7070000
изтривалка;мочалка;4540;325000
изтривам;вытирать;856;346000
изтривам;стирать;856;1030000
изтрия;вытереть;40500;228000
изтърквам;изнашивать;742;11300
изуча;выучить;694;1090000
изуча;изучить;694;1330000
изучавам;изучать;22900;1370000
изхабя;испортить;1180;1360000
изхарча;затратить;2020;443000
изхарча;израсходовать;2020;183000
изхарчвам;затрачивать;723;118000
изхвърля;выбросить;62200;971000
изхвърлям;выбрасывать;770;705000
изход;выход;488000;3440000
изходен;исходный;56900;1340000
изходящ;исходящий;25300;1120000
изцапам;испачкать;1070;107000
изцеря;вылечить;356;1190000
изцеря;исцелить;356;193000
изцерявам;излечивать;257;87900
изцяло;полностью;1120000;5540000
изцяло;целиком;1120000;1720000
изчезвам;исчезать;865;498000
изчервявам;багроветь;646;15200
изчисля;вычислить;6280;1050000
изчисля;рассчитать;6280;1520000
изчислявам;вычислять;9910;337000
изчисляване;расчет;153000;2000000
изчистя;вычистить;957;145000
изям;съесть;20300;1240000
изясня;выяснить;14400;1490000
изясня;разъяснить;14400;1140000
изяснявам;разбирать;11400;1110000
икона;икона;185000;1500000
икономика;экономика;1700000;5860000
икономичен;экономный;41800;454000
или;или;2000000;11100000
или;либо;2000000;4060000
илюзия;иллюзия;89800;1420000
илюстрация;иллюстрация;78200;2160000
има;есть;1870000;5960000
имам;иметь;1290000;2880000
име;имя;3040000;4940000
именно;именно;1180000;2470000
именувам;звать;659;1300000
имот;имущество;690000;1730000
импорт;ввоз;37500;1180000
импорт;импорт;37500;1380000
импортирам;ввезти;460;661000
импортирам;ввозить;460;559000
импортирам;импортировать;460;886000
импулс;импульс;104000;1310000
имунитет;иммунитет;61900;1430000
имущество;имущество;327000;1730000
инак;иначе;57600;2170000
иначе;иначе;1270000;2170000
инвалид;инвалид;48000;1290000
инжекция;укол;32300;1280000
инженер;инженер;171000;2030000
инсталирам;устанавливать;45100;1590000
институт;институт;928000;2930000
инструкция;инструкция;99600;2520000
инструмент;инструмент;375000;2090000
инсулт;инсульт;41400;1020000
интервал;интервал;140000;1400000
интерес;интерес;1120000;3590000
интересен;интересный;346000;2090000
интересно;интересно;1120000;3300000
интересувам;интересовать;87100;473000
интерпретирам;интерпретировать;2400;650000
интуиция;интуиция;43800;1420000
инфаркт;инфаркт;63300;1200000
информационен;информационный;586000;2050000
информация;информация;1880000;11400000
инхалация;ингаляция;1540;322000
искам;желать;1330000;1570000
искам;требовать;1330000;1360000
искам;хотеть;1330000;1030000
искане;заявка;370000;3930000
искане;требование;370000;3090000
искрен;искренний;60900;1160000
истина;истина;558000;1970000
истина;правда;558000;2440000
истински;настоящий;887000;3360000
история;история;4020000;7310000
кабел;кабель;319000;2110000
кабел;провод;319000;1640000
кабина;кабина;71200;1360000
кабинет;кабинет;402000;2600000
кавичка;кавычка;797;119000
кадифе;бархат;20200;892000
кадър;кадр;147000;2310000
кажа;сказать;1110000;2340000
каиш;ремень;558;1540000
кайма;фарш;48600;1100000
каймак;сливки;14700;1330000
кайсия;абрикос;12300;790000
как;как;2720000;12500000
какао;какао;48600;980000
какъв;каков;1140000;1740000
какъв;какой;1140000;2500000
кал;грязь;134000;1570000
калай;олово;14000;678000
кален;грязевой;12400;113000
кален;грязный;12400;1450000
календар;календарь;2160000;3660000
калкан;камбала;14100;244000
калкулатор;калькулятор;529000;2150000
калкулация;калькуляция;15500;590000
калкулиране;калькуляция;10700;590000
калъф;футляр;52600;1270000
камара;палата;352000;1800000
каменен;каменный;21300;1380000
камера;камера;763000;2540000
камера;фотоаппарат;763000;2250000
камериерка;горничная;17600;751000
камион;грузовик;91000;1250000
камък;камень;371000;2380000
канавка;канава;797;859000
канализация;канализация;135000;1270000
канапе;диван;36300;1730000
канела;кран;35600;1480000
кантар;безмен;27500;114000
кантар;весы;27500;1870000
кантора;бюро;108000;1740000
канцелария;канцелярия;38300;1380000
канцеларски;канцелярский;97400;260000
канче;кружка;660;1530000
каня;звать;42100;1300000
капак;крышка;131000;1810000
капитален;капитальный;9550;1300000
капиталовложение;капиталовложение;2410;66900
капка;капля;169000;1440000
капрон;капрон;15800;96700
карам;везти;176000;950000
карам;вести;176000;2760000
карам;водить;176000;1280000
карам;управлять;176000;1860000
карамфил;гвоздика;21900;1060000
карбуратор;карбюратор;10700;745000
кардинален;кардинальный;3470;244000
кардиограма;кардиограмма;1260;131000
карта;карта;3090000;8870000
картичка;карточка;843000;2270000
картотека;картотека;21400;1030000
картоф;картофель;28600;1870000
картофен;картофельный;1770;273000
карфица;булавка;749;603000
каса;касса;457000;1430000
касетка;кассета;943;1370000
касиер;кассир;31300;1220000
касис;смородина;13800;867000
каскет;кепка;514;1060000
каталог;каталог;1470000;5030000
катастрофа;катастрофа;473000;2070000
категория;вес;1130000;3000000
категория;категория;1130000;2530000
категория;разряд;1130000;1420000
катедра;кафедра;217000;2490000
катинар;замок;27300;2280000
като;как;1930000;12500000
кафе;кофе;707000;1980000
кафене;кафе;84700;2440000
кафениче;кофейник;61;216000
каца;бочка;30300;1860000
кацна;приземлить;28700;31400
кацна;сесть;28700;1460000
кача;сесть;106000;1460000
качвам;садить;77700;107000
качествен;качественный;187000;1840000
качество;сорт;1160000;1500000
каша;каша;58000;1470000
кашкавал;сыр;165000;1430000
каяк;байдарка;22900;1090000
квадрат;квадрат;81000;1320000
квадратен;квадратный;54500;1350000
квалификация;квалификация;545000;2210000
квалифициран;квалифицированный;89400;1390000
квартал;квартал;489000;2170000
квартира;квартира;170000;3800000
квас;дрожжи;691;930000
квитанция;квитанция;32100;1480000
кей;набережная;44200;1400000
кекс;кекс;19900;578000
келнер;официант;44900;1280000
келнерка;официантка;806;786000
кибрит;спички;16100;1130000
килийка;ячейка;552;1350000
килим;ковер;41200;1340000
килимче;коврик;10400;1480000
киловат;киловатт;669;423000
килограм;килограмм;69300;1470000
километър;километр;84200;1420000
кимам;кивать;1900;152000
кимна;кивнуть;25300;69200
кино;кино;1910000;3950000
кипене;кипение;19700;210000
кипя;кипеть;5090;142000
кисел;кисель;20400;458000
кисел;кислый;20400;626000
киселец;щавель;898;228000
киселина;кислота;120000;1390000
кислород;кислород;69600;1320000
кифла;булка;11000;539000
кладенец;колодец;79400;1250000
кламер;скрепка;540;177000
клатя;шатать;660;19200
клетка;ячейка;139000;1350000
клиент;заказчик;558000;2180000
клиент;клиент;558000;4410000
клиентела;клиентура;14600;471000
климат;климат;443000;2840000
клиника;клиника;154000;1700000
клозет;туалет;30600;1610000
клон;ветка;277000;1490000
ключ;выключатель;310000;1520000
ключ;ключ;310000;2590000
ключалка;замок;12400;2280000
книга;книга;1520000;4130000
книжен;бумажный;64700;1340000
кога;когда;1180000;5860000
код;код;1510000;3940000
кожа;кожа;414000;2470000
кожа;мех;414000;1350000
кожен;кожаный;59000;1300000
кожен;кожный;59000;773000
кожен;меховой;59000;554000
козина;мех;26400;1350000
козметичен;косметический;71800;1300000
кой;какой;1740000;2500000
кой;который;1740000;8730000
кой;кто;1740000;5130000
койка;койка;1530;1230000
който;который;1850000;8730000
който;кто;1850000;5130000
който;любой;1850000;8140000
кола;автомобиль;1120000;3600000
колеж;колледж;256000;1530000
колело;велосипед;124000;1630000
количество;количество;1030000;5260000
колко;как;1310000;12500000
колко;насколько;1310000;2090000
колко;сколько;1310000;2310000
команда;экипаж;92100;1380000
командвам;командовать;4810;838000
командировка;командировка;49200;1310000
комбинат;комбинат;38300;1380000
компенсация;компенсация;71300;1840000
компетентност;компетентность;178000;1170000
компетенция;компетенция;13300;1340000
комплекс;комплекс;873000;3500000
комплект;комплект;496000;2590000
комплект;набор;496000;2710000
композиция;состав;85500;5610000
компонент;компонент;160000;2530000
комшия;сосед;834;1670000
кон;конь;262000;1530000
кон;лошадь;262000;1610000
кондуктор;кондуктор;7540;415000
кондуктор;проводник;7540;1540000
конкуренция;конкуренция;337000;1970000
консерва;консерва;27900;83400
консул;консул;83900;1140000
консулство;консульство;53200;1290000
консултант;консультант;317000;2420000
контакт;контакт;2290000;2760000
контакт;штепсель;2290000;96700
контекст;контекст;210000;1870000
континент;континент;751000;1330000
контракт;контракт;28000;1850000
контраст;контраст;98100;1310000
контрол;контроль;1380000;4180000
контролирам;контролировать;11000;1600000
контур;контур;25000;1330000
конфигурация;конфигурация;1070000;2090000
конфитюр;джем;10800;1170000
конфликт;конфликт;424000;2440000
концерт;концерт;458000;2840000
коняк;коньяк;33900;1460000
копирам;копировать;18200;1390000
копче;пуговица;39600;1140000
копър;укроп;36600;731000
кора;кожура;89900;552000
кораб;судно;438000;1500000
кораб;теплоход;438000;1560000
корав;жесткий;19000;1660000
корем;живот;72300;1530000
кореняк;абориген;5490;880000
кореспонденция;переписка;204000;1820000
корица;переплет;372000;1540000
кормило;руль;43000;1930000
коствам;стоить;128;1450000
костюм;костюм;80000;1800000
котлон;электроплитка;17500;46000
кофа;бадья;90200;207000
кофа;ведро;90200;1760000
крада;воровать;938;799000
крадец;вор;80400;1370000
краен;конечный;432000;1900000
краен;крайний;432000;1350000
край;вдоль;1250000;1600000
край;завершение;1250000;1840000
край;конец;1250000;4640000
край;край;1250000;2850000
край;около;1250000;6210000
край;окончание;1250000;1830000
край;под;1250000;7730000
край;при;1250000;10500000
крайбрежие;побережье;101000;1760000
крайбрежна;набережная;21000;1400000
крайно;крайне;505000;1990000
крак;нога;253000;2040000
крал;король;206000;2060000
кран;кран;96600;1480000
красив;красивый;403000;1810000
краставица;огурец;24600;1400000
кратко;недолго;1020000;1510000
кратковременен;кратковременный;1070;263000
кратък;короткий;648000;1670000
крача;шагать;13200;369000
крачка;шаг;304000;2170000
креват;кровать;966;1690000
крем;крем;151000;1340000
кренвирш;сосиска;5700;201000
крепост;крепость;209000;1590000
кресло;кресло;23600;2060000
кресна;крикнуть;213000;1120000
кристал;хрусталь;95000;1070000
круша;груша;56600;1330000
крушов;грушевый;789;83900
кръв;кровь;487000;2530000
кръг;круг;810000;2690000
кръстопът;перекресток;74400;1360000
кто;кого;646000;2230000
кукуруз;кукуруза;3070;1330000
кула;башня;395000;1700000
купа;кубок;460000;2380000
купувам;покупать;566000;2100000
купувач;покупатель;131000;2790000
купя;купить;296000;3880000
курорт;курорт;293000;2100000
курс;курс;915000;4140000
кутийка;коробка;43300;1770000
кутия;банка;583000;3560000
кутия;коробка;583000;1770000
кутия;пачка;583000;1960000
кутия;футляр;583000;1270000
куфар;баул;30200;320000
кухня;кухня;749000;2710000
куче;собака;380000;2200000
кученце;щенок;46000;1440000
къде;где;1420000;6940000
къде;куда;1420000;2270000
където;где;1270000;6940000
където;куда;1270000;2270000
кълбо;клуб;91500;2860000
кълбо;клубок;91500;1040000
кълбо;шар;91500;1780000
към;к;2040000;12800000
къпя;купать;12000;148000
кърпа;полотенце;59600;1450000
къс;короткий;103000;1670000
къс;кусок;103000;1650000
късен;поздний;82300;1400000
късно;поздно;1240000;1870000
късоглед;близорукий;7220;141000
къща;дом;1280000;6820000
къщи;дома;1320000;7330000
кюфте;котлета;10400;876000
лаборатория;лаборатория;310000;2440000
лагер;лагерь;197000;1870000
лагер;подшипник;197000;1280000
лайка;ромашка;277000;1250000
лакомия;жадность;13400;1270000
лале;тюльпан;28800;1060000
лампа;лампа;102000;1840000
ласо;аркан;3370;222000
лев;лев;372000;1970000
леген;таз;11100;1270000
легло;койка;349000;1230000
легло;кровать;349000;1690000
легло;постель;349000;1530000
лежа;лежать;33400;1790000
лек;легкий;465000;1930000
лекар;врач;580000;2630000
лекар;доктор;580000;1950000
лекар;медик;580000;1200000
лекарски;врачебный;155000;388000
лекарство;лекарство;133000;1930000
лековит;целебный;1020;424000
лекувам;излечивать;20200;87900
лекувам;лечить;20200;1330000
лекуване;лечение;35800;1990000
лента;лента;265000;3680000
лесен;легкий;510000;1930000
лете;летом;14100;2050000
летен;летний;144000;2460000
летище;аэропорт;561000;2490000
летовище;курорт;1690;2100000
летописи;анналы;29200;373000
леха;грядка;752;589000
лечебен;лечебный;48300;1380000
лечебница;лечебница;660;504000
лечение;лечение;923000;1990000
ливада;луг;65100;1360000
лимон;лимон;82400;1390000
линия;линейка;1160000;1960000
линия;линия;1160000;4640000
липса;недостаток;637000;2040000
липсвам;отсутствовать;777;643000
лист;лист;421000;3610000
листа;меню;935000;2860000
литър;литр;59600;1440000
лице;лицо;1460000;5490000
лиценз;лицензия;885000;2340000
лицензия;лицензия;83200;2340000
личен;личный;811000;2630000
лов;ловля;864000;1840000
лов;охота;864000;2170000
ловец;охотник;66400;1500000
ловък;бойкий;10000;225000
лоза;виноград;25600;1510000
лозе;виноградник;37000;663000
локва;лужа;21100;1360000
лош;плохой;581000;1800000
лошо;плохо;1020000;2460000
лудория;шалость;895;710000
лук;лук;147000;1590000
луковица;луковица;3280;836000
лукс;шик;238000;922000
лъв;лев;324000;1970000
лъжа;ложь;291000;1480000
лъжа;обман;291000;1380000
лъжица;ложка;74600;1340000
любим;излюбленный;551000;574000
любим;любимый;551000;2410000
люлея;шатать;2490;19200
люспа;шелуха;3170;599000
лют;острый;26300;1470000
лютив;жгучий;592;487000
ляв;левый;78900;1730000
лято;лето;464000;3010000
м;материал;1620000;11600000
м;материя;1620000;1650000
магазин;магазин;1500000;3330000
магданоз;петрушка;70800;1010000
магистър;магистр;176000;1310000
мазнина;сало;64100;1600000
майка;мать;979000;2560000
майонеза;майонез;34500;1000000
майстор;мастер;216000;3010000
макар;хоть;1130000;2310000
макар;хотя;1130000;2360000
макаронин;макароны;2190;1210000
максимален;максимальный;439000;1650000
малко;мало;1500000;2300000
малко;менее;1500000;5400000
малко;немного;1500000;2300000
маловажен;маловажный;16900;25500
малцинство;меньшинство;80600;1370000
малчуган;малыш;710;1870000
малък;мал;1280000;1360000
малък;маленький;1280000;2160000
малък;малый;1280000;1930000
малък;небольшой;1280000;1980000
мама;мама;565000;2270000
манерка;баклажка;2630;612
маратонки;кроссовки;72400;1360000
маргарин;маргарин;27500;481000
марка;марка;1020000;2410000
маркуч;шланг;17800;1250000
маршрут;маршрут;154000;2170000
мас;мазь;53300;1290000
мас;сало;53300;1600000
маса;масса;1070000;2660000
маса;стол;1070000;2690000
масаж;массаж;202000;1790000
масажист;массажист;13300;679000
масивен;массивный;43500;656000
масов;массовый;56100;1900000
материал;материал;1150000;11600000
материя;материал;183000;11600000
материя;материя;183000;1650000
матрак;матрас;37600;1620000
матрак;матрац;37600;1350000
махна;убрать;112000;1720000
машина;машина;512000;6200000
машина;механизм;512000;2710000
мая;дрожжи;320000;930000
ме;меня;1960000;2720000
мебел;мебель;269000;2340000
мебел;обстановка;269000;1720000
мебелиран;меблированный;3570;19000
мебелировка;обстановка;23200;1720000
мед;мед;416000;1630000
медик;медик;18000;1200000
медикаменти;медикаменты;227000;1860000
медицински;врачебный;796000;388000
медицински;медицинский;796000;1540000
медсестра;медсестра;663;1390000
между;между;1580000;6130000
между;среди;1580000;3910000
междуградски;междугородный;39200;364000
международен;международный;838000;3550000
мек;мягкий;86800;1620000
мемоари;мемуары;317000;1320000
меню;меню;1430000;2860000
меня;менять;15100;1940000
мерси;спасибо;342000;2340000
меря;мерить;10900;340000
месен;мясной;6910;1130000
месец;месяц;1690000;4580000
месо;мясо;410000;1830000
месо;фарш;410000;1100000
местен;местный;224000;1810000
местност;местность;216000;1660000
местожителство;местожительство;1190000;654000
местонахождение;местонахождение;283000;1450000
мета;подметать;56000;146000
метал;металл;202000;2280000
метален;металлический;82000;1360000
металически;металлический;864;1360000
метна;бросить;25600;1410000
метна;кинуть;25600;1050000
метод;метод;548000;3300000
методика;методика;192000;2210000
метър;метр;169000;2540000
механизъм;механизм;288000;2710000
механик;механик;23500;1180000
мехлем;мазь;10400;1290000
мечка;медведь;123000;1460000
мечта;мечта;372000;2550000
ми;мне;1540000;2780000
ми;мой;1540000;2690000
мигам;мигать;5580;251000
микроклимат;микроклимат;14000;941000
мина;перейти;470000;2590000
минавам;проезжать;44400;195000
минаване;проезд;19100;2090000
минал;прошлый;97600;2490000
минало;прошлое;507000;2970000
минен;горный;824;1540000
минерален;минеральный;40900;808000
миниатюра;миниатюра;17100;1250000
минимален;минимальный;170000;1450000
министерство;министерство;1160000;3060000
министър;министр;1380000;4470000
минус;минус;159000;1810000
минута;минута;436000;2590000
мир;мир;608000;9080000
мирен;мирный;72900;1340000
миризма;запах;71200;1730000
мирис;аромат;64700;1640000
мирис;запах;64700;1730000
мириша;пахнуть;7350;453000
мироглед;мировоззрение;26700;1400000
мислене;мышление;307000;1570000
мисля;думать;1330000;1850000
мистерия;мистерия;124000;847000
мисъл;мысль;473000;2300000
мит;вымысел;119000;1200000
мит;вымытый;119000;58600
мит;миф;119000;1880000
мит;мытый;119000;33200
митница;таможня;61900;1350000
митничар;таможенник;10500;876000
